"id","opportunity","percentile","cutoff","accessibility"
"way/34240900","hospital",50,30,0
"way/34240911","hospital",50,30,0
"way/34440785","hospital",50,30,0
"way/34753463","hospital",50,30,0
"way/35033050","hospital",50,30,0
"way/35041447","hospital",50,30,2
"way/35041448","hospital",50,30,1
"way/35050754","hospital",50,30,1
"way/35050755","hospital",50,30,1
"way/35050756","hospital",50,30,1
"way/35050757","hospital",50,30,1
"way/35053020","hospital",50,30,1
"way/35053021","hospital",50,30,1
"way/35053022","hospital",50,30,1
"way/35053023","hospital",50,30,1
"way/35053024","hospital",50,30,1
"way/35100609","hospital",50,30,1
"way/35100610","hospital",50,30,1
"way/35108812","hospital",50,30,1
"way/35216780","hospital",50,30,0
"way/35216781","hospital",50,30,0
"way/35216782","hospital",50,30,0
"way/35216784","hospital",50,30,0
"way/35217296","hospital",50,30,0
"way/35217297","hospital",50,30,0
"way/35400427","hospital",50,30,2
"way/35543936","hospital",50,30,1
"way/37130421","hospital",50,30,1
"way/37205748","hospital",50,30,1
"way/37205749","hospital",50,30,1
"way/37205767","hospital",50,30,2
"way/37205769","hospital",50,30,2
"way/37207217","hospital",50,30,1
"way/37281127","hospital",50,30,3
"way/37281129","hospital",50,30,3
"way/37717409","hospital",50,30,2
"way/37727858","hospital",50,30,2
"way/37737793","hospital",50,30,2
"way/37737794","hospital",50,30,2
"way/37737795","hospital",50,30,2
"way/37737796","hospital",50,30,2
"way/37737797","hospital",50,30,2
"way/37737798","hospital",50,30,2
"way/37737799","hospital",50,30,2
"way/37738541","hospital",50,30,2
"way/37804291","hospital",50,30,2
"way/37808154","hospital",50,30,1
"way/37808155","hospital",50,30,1
"way/37960127","hospital",50,30,0
"way/38167016","hospital",50,30,1
"way/38167017","hospital",50,30,1
"way/38167018","hospital",50,30,1
"way/38167019","hospital",50,30,1
"way/38431183","hospital",50,30,3
"way/38450993","hospital",50,30,3
"way/38769732","hospital",50,30,1
"way/38964814","hospital",50,30,3
"way/38965894","hospital",50,30,3
"way/38965895","hospital",50,30,3
"way/38966035","hospital",50,30,3
"way/39065970","hospital",50,30,3
"way/39087293","hospital",50,30,1
"way/39209103","hospital",50,30,1
"way/39209104","hospital",50,30,1
"way/39209105","hospital",50,30,1
"way/39468301","hospital",50,30,0
"way/39522620","hospital",50,30,2
"way/39523087","hospital",50,30,2
"way/39523088","hospital",50,30,2
"way/39523090","hospital",50,30,2
"way/39523092","hospital",50,30,2
"way/39523093","hospital",50,30,2
"way/39523094","hospital",50,30,2
"way/39786515","hospital",50,30,0
"way/39788644","hospital",50,30,0
"way/39887032","hospital",50,30,1
"way/39887036","hospital",50,30,1
"way/39887037","hospital",50,30,1
